CustomerID,FirstName,LastName,BirthDate,AgeGroup,Generation,City,Region,Country,RegistrationDate,PreferredChannel,LoyaltyMember,MarketingOptIn,AcquisitionSource,CustomerStatus
1001,Matthew,Hughes,1983-05-11,35–44,Millennial,Brighton,South East England,United Kingdom,2025-06-23,TikTok Shop,False,True,TikTok,Active
1002,Danielle,Lewis,2003-01-11,18–24,Gen Z,Liverpool,North West England,United Kingdom,2024-03-04,Website,False,False,TikTok,Active
1003,David,Martin,1972-03-25,45–54,Gen X,Brighton,South East England,United Kingdom,2024-08-25,Website,True,False,Instagram,Inactive
1004,Rhys,Ryan,1996-10-06,25–34,Millennial,Newcastle upon Tyne,North East England,United Kingdom,2025-05-02,TikTok Shop,False,True,Referral,Inactive
1005,Simon,Gray,1986-05-15,35–44,Millennial,London,Greater London,United Kingdom,2025-07-31,Website,False,True,Instagram,Active
1006,Sharon,Shepherd,1982-06-10,35–44,Millennial,London,Greater London,United Kingdom,2025-03-19,Website,False,True,TikTok,Inactive
1007,Christopher,Parry,1962-10-07,55–64,Gen X,London,Greater London,United Kingdom,2024-06-03,TikTok Shop,False,True,Friend Recommendation,Active
1008,Elaine,Greenwood,1992-02-05,25–34,Millennial,Brighton,South East England,United Kingdom,2024-05-29,Website,False,False,TikTok,Active
1009,Gary,Carter,1983-04-02,35–44,Millennial,London,Greater London,United Kingdom,2025-05-23,Instagram,False,False,Friend Recommendation,Active
1010,Julian,Green,1997-03-23,25–34,Millennial,Manchester,North West England,United Kingdom,2025-03-18,TikTok Shop,False,False,Organic Search,Active
1011,Wayne,Austin,2002-04-29,18–24,Gen Z,Glasgow,Scotland,United Kingdom,2025-06-30,Website,True,True,Google Ads,Active
1012,Shannon,Richards,1984-11-21,35–44,Millennial,Liverpool,North West England,United Kingdom,2025-02-26,Website,True,True,Instagram,Inactive
1013,Cameron,Fry,2004-07-12,18–24,Gen Z,London,Greater London,United Kingdom,2025-05-23,Website,False,False,Google Ads,Active
1014,Melanie,Thorpe,1979-04-10,45–54,Gen X,London,Greater London,United Kingdom,2025-08-18,TikTok Shop,False,True,Instagram,Active
1015,Luke,Spencer,1972-02-06,45–54,Gen X,Manchester,North West England,United Kingdom,2025-12-05,TikTok Shop,False,False,Instagram,Active
1016,Raymond,Ross,1972-08-24,45–54,Gen X,Brighton,South East England,United Kingdom,2024-01-07,Website,True,True,Referral,Active
1017,Elliot,Kerr,1982-05-17,35–44,Millennial,Manchester,North West England,United Kingdom,2025-10-14,TikTok Shop,True,False,Organic Search,Active
1018,Lynda,Murray,1976-05-21,45–54,Gen X,London,Greater London,United Kingdom,2024-02-24,TikTok Shop,True,True,TikTok,Active
1019,Dean,Taylor,1991-10-20,25–34,Millennial,London,Greater London,United Kingdom,2025-06-17,Website,True,False,Organic Search,Active
1020,Joanne,Young,2001-05-05,18–24,Gen Z,Nottingham,East Midlands,United Kingdom,2024-01-14,TikTok Shop,True,False,Friend Recommendation,Active
1021,Kirsty,Holland,1998-08-20,25–34,Millennial,Newcastle upon Tyne,North East England,United Kingdom,2024-01-25,Website,False,True,Organic Search,Active
1022,Christian,Richards,1998-03-13,25–34,Millennial,London,Greater London,United Kingdom,2024-02-07,Website,False,True,Instagram,Active
1023,Graeme,Walker,1983-06-06,35–44,Millennial,London,Greater London,United Kingdom,2025-04-25,TikTok Shop,False,True,TikTok,Active
1024,Joel,Morgan,1963-08-28,55–64,Gen X,Liverpool,North West England,United Kingdom,2025-06-05,TikTok Shop,False,True,Instagram,Inactive
1025,Glenn,Thompson,1972-07-12,45–54,Gen X,London,Greater London,United Kingdom,2024-07-19,Website,False,True,Referral,Active
1026,Simon,Day,2006-02-26,18–24,Gen Z,London,Greater London,United Kingdom,2024-05-28,Website,False,True,Organic Search,Active
1027,Judith,Jackson,1968-11-08,55–64,Gen X,London,Greater London,United Kingdom,2024-05-13,TikTok Shop,True,False,Organic Search,Active
1028,Alexandra,Morris,2003-08-06,18–24,Gen Z,Brighton,South East England,United Kingdom,2025-10-28,Instagram,False,False,TikTok,Active
1029,Ross,Farrell,1984-02-24,35–44,Millennial,Manchester,North West England,United Kingdom,2024-08-06,TikTok Shop,True,False,Instagram,Inactive
1030,Sophie,Duffy,2007-02-21,18–24,Gen Z,Edinburgh,Scotland,United Kingdom,2024-01-07,Website,True,False,TikTok,Inactive
1031,Phillip,Riley,1989-04-17,35–44,Millennial,Glasgow,Scotland,United Kingdom,2025-06-15,Website,True,False,TikTok,Inactive
1032,Jeffrey,Byrne,1994-04-09,25–34,Millennial,Birmingham,West Midlands,United Kingdom,2024-11-08,Website,False,True,Instagram,Active
1033,Tracey,Dobson,2006-11-21,18–24,Gen Z,Cardiff,Wales,United Kingdom,2024-02-28,TikTok Shop,True,False,Referral,Inactive
1034,Amy,Patel,2008-06-26,18–24,Gen Z,Manchester,North West England,United Kingdom,2024-11-27,Website,True,True,TikTok,Active
1035,Owen,Brown,1962-08-28,55–64,Gen X,London,Greater London,United Kingdom,2024-06-14,TikTok Shop,False,True,Instagram,Active
1036,Eleanor,Scott,2001-01-13,18–24,Gen Z,Leeds,Yorkshire and the Humber,United Kingdom,2024-08-22,Website,True,False,Organic Search,Active
